img_id,GT,date_taken,date_granularity,url,username,title,license,license_url,year
9172321562,1979,01-10-1979 00:00,4,https://farm4.staticflickr.com/3722/9172321562_c8fce7f927.jpg,Coalfields Heritage Group,"75th Anniversary celebrations, Civic Week, Kurri Kurri, NSW, Australia, October 1979",All Rights Reserved,,1979
8719939603,1962,01-06-1962 00:00,4,https://farm8.staticflickr.com/7379/8719939603_0f7651121f.jpg,jaceva,Liverpool 1962,All Rights Reserved,,1962
3254101930,1963,01-05-1963 00:00,4,https://farm4.staticflickr.com/3499/3254101930_5dfb97f433.jpg,Larry Fiehn,40,All Rights Reserved,,1963
484417060,1951,01-01-1951 00:00,6,https://farm1.staticflickr.com/231/484417060_23e9577398.jpg,Paul-W,EIL-11xx1951-08,Attribution-NonCommercial-ShareAlike License,https://creativecommons.org/licenses/by-nc-sa/2.0/,1951
7496511306,1937,01-03-1937 00:00,4,https://farm8.staticflickr.com/7115/7496511306_e8b22fcfc7.jpg,The U.S. National Archives,"After drying, the skeins are taken from the rack and each skein is put on a swift of the winding machine. This machine winds the yarn from the skein on to bobbins, March 1937",No known copyright restrictions,https://www.flickr.com/commons/usage/,1937
147949129,1935,05-05-1935 00:00,0,https://farm1.staticflickr.com/48/147949129_09d665422b.jpg,Vehicular Traffic,N68,All Rights Reserved,,1935
4749841702,1936,01-08-1936 00:00,4,https://farm5.staticflickr.com/4121/4749841702_d9e3f97ce3.jpg,UNO Criss Library,09_FB_Gerald Gardner_1936_Front_Dewell,All Rights Reserved,,1936
2758989765,1960,01-07-1960 00:00,4,https://farm4.staticflickr.com/3083/2758989765_d07fc17451.jpg,cunningba,By the Ivy in the Driveway,All Rights Reserved,,1960
4381567043,1959,01-01-1959 00:00,8,https://farm5.staticflickr.com/4009/4381567043_513b9609c9.jpg,UNO Criss Library,Quivera_59-69_01,All Rights Reserved,,1959
8523338580,1980,01-04-1980 00:00,4,https://farm9.staticflickr.com/8226/8523338580_ce26fea909.jpg,Malleeroute,EP 11,All Rights Reserved,,1980
19263033190,1959,01-01-1960 12:00,0,https://farm1.staticflickr.com/464/19263033190_4ff1672db9.jpg,joshua_putnam,19600000_Scan-150705-0035,All Rights Reserved,,1960
15889532214,1930,01-08-1930 17:43,0,https://farm8.staticflickr.com/7313/15889532214_73fd1f2a93.jpg,christian.philippe_genea,1_17_3.jpg,All Rights Reserved,,1930
110290166,1944,01-01-1944 12:00,0,https://farm1.staticflickr.com/39/110290166_d5bd4dcc48.jpg,dwfake,,All Rights Reserved,,1944
5360477165,1938,01-01-1938 00:00,8,https://farm6.staticflickr.com/5162/5360477165_abdc204b03.jpg,Greene Connections,WAYN_AN001_1938_0016,Attribution-NonCommercial-ShareAlike License,https://creativecommons.org/licenses/by-nc-sa/2.0/,1938
14522097236,1968,11-09-1968 12:00,0,https://farm6.staticflickr.com/5524/14522097236_06a8d83ef9.jpg,Kuvamme,Snowdonia,All Rights Reserved,,1968
4201178722,1975,01-03-1975 00:00,4,https://farm3.staticflickr.com/2562/4201178722_3896d9cf58.jpg,Hunter-Desportes,When the Circus Came to Town (1975),Attribution License,https://creativecommons.org/licenses/by/2.0/,1975
28577422446,1950,01-01-1950 00:00,8,https://farm9.staticflickr.com/8130/28577422446_1e2a5430b1.jpg,University of Central Arkansas Archives,1950,All Rights Reserved,,1950
2909805169,1972,01-02-1972 00:00,4,https://farm4.staticflickr.com/3295/2909805169_06dc5297bd.jpg,"ndpa / s. lundeen, archivist",04-185,All Rights Reserved,,1972
5745690903,1982,01-08-1982 12:00,0,https://farm3.staticflickr.com/2679/5745690903_f3911890e9.jpg,John Mac 2011 UK,Yellowstone National Park  - USA 1982.,All Rights Reserved,,1982
8245175820,1950,01-01-1950 00:00,6,https://farm9.staticflickr.com/8206/8245175820_29ee4219d6.jpg,OSU Special Collections & Archives,"Home Economics Club students, 1950",All Rights Reserved,,1950
2151697110,1945,08-12-1945 00:00,0,https://farm3.staticflickr.com/2142/2151697110_0e7fde523b.jpg,NZGandG,"Gertrude Andrews, Naumai Squire, Yvonne Squire",All Rights Reserved,,1945
9348883645,1968,01-12-1968 00:00,4,https://farm4.staticflickr.com/3753/9348883645_0eb21e361a.jpg,NASA Johnson,s68-56533,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,1968
5856032517,1950,01-01-1950 00:00,4,https://farm6.staticflickr.com/5150/5856032517_72d77556a1.jpg,gunno72,4 Dick Whittington 1950,Attribution-NonCommercial-ShareAlike License,https://creativecommons.org/licenses/by-nc-sa/2.0/,1950
11209179713,1937,01-01-1937 00:00,6,https://farm4.staticflickr.com/3763/11209179713_420ba7562d.jpg,rich701,1938 - Fairchild 22,Attribution License,https://creativecommons.org/licenses/by/2.0/,1937
6643395023,1992,01-03-1992 00:00,4,https://farm8.staticflickr.com/7035/6643395023_b7dc5030f9.jpg,Guy Arab UF,Cairo 4264 Abbaseya Depot,All Rights Reserved,,1992
5623324087,1941,01-01-1941 00:00,6,https://farm6.staticflickr.com/5141/5623324087_101c48f460.jpg,Norrgarn,RM2_Olly_Edh_1941,All Rights Reserved,,1941
27822047801,1998,01-07-1998 00:00,4,https://farm8.staticflickr.com/7318/27822047801_fc19024dbb.jpg,Cynthia of Harborough,Portsmouth.  July 26th. 1998,All Rights Reserved,,1998
16121902831,1942,01-01-1942 00:00,8,https://farm8.staticflickr.com/7557/16121902831_747501ce43.jpg,reelmack,89 1,All Rights Reserved,,1942
8393678825,1991,09-11-1991 15:00,0,https://farm9.staticflickr.com/8358/8393678825_8845c96ef7.jpg,Craig.S.Lucas,Guarding the Crown Jewels,All Rights Reserved,,1991
